recipe_id,created_time,updated_time,authorship,dish_name,recipe_hits,recipe_intro,recipe_thumbnail,recipe_title,reference_recipe,review_count,scope,user_token_id,level,time,category,scope_count
1000001,2023-07-24 18:48,,요리조리,,92,시원.. 달콤한 망고스무디 간편하게 만드는 레시피입니다.,/src/c3db6e14-bf9e-4110-9e19-78de1d9a58f0.jpg,망고스무디,,15,3.7,yorizori2018,중,30분,,
1000002,2023-07-24 18:48,,요리조리,,3,고등어는 비린내가 많이 있기때문에 아무래도 초밥을 만들어서 먹는것이 그렇게 쉬운 요리는 아니지만 냄새까지 잡아가면서 만들어본 고등어초밥 입니다.,/src/442d02a5-cdad-4912-bf77-c3f09b950b3e.jpg,고등어초밥,,0,0,yorizori2018,중,30분,,
1000003,2023-07-24 18:48,,요리조리,,0,여름철 밑반찬으로 너무 좋은 고구마줄기를 오늘은 조금은 기름을 두르기전에 한번 먼저 고구마줄기를 볶아준후 요리를 하면 수분이 증발하면서 볶아지기때문에 더 좋답니다.,/src/057eafcf-7220-4efb-a52f-daad5b0812f5.jpg,고구마줄기볶음,,0,0,yorizori2018,중,30분,,
1000004,2023-07-24 18:48,,요리조리,,33,시리얼을 활용한 여름음료 ‘콘크런치쉐이크’ 콘푸로스트와 옥수수를 넣어 만든 시원하고 든든한 디저트에요. 콘푸로스트의 바삭한 식감과 톡톡 터지는 옥수수의 식감까지 너무 매력적인 콘크런치쉐이크,/src/066e36d3-f801-4de6-b311-ea699b292067.jpg,중독성있는 식감만 모아서 만든 쉐이크 콘크런치쉐이크,,0,0,yorizori2018,중,30분,,
1000005,2023-07-24 18:48,,요리조리,,0,"탄수화물 없이 만드는 그라탕 닭가슴살, 방울토마토, 갖은 야채 넣어주고 향을 책임질 바질까지 넣어주세요. 그 다음 토마토소스, 스리라차 소스 등 소스를 올려 재료와 잘 버무리면 준비 끝! 그 다음 오븐이나 에어프라이어를 활용해 구워주면 다이어트에 좋은 바질토마토닭가슴살 완성~",/src/a8a5c7df-e9eb-46a4-bc91-bb20d0cfc80d.jpg,"탄수화물 없는 그라탕 닭가슴살 듬뿍 넣어 만들어보세요, 바질토마토닭가슴살구이",,0,0,yorizori2018,중,30분,,
1000006,2023-07-24 18:48,,요리조리,,0,씹을때마다 톡톡 터지는 옥수수의 식감에 황치즈의 향기가 너무 매력적인 황치즈크럼블 한입 먹어보면 감탄이 나오는 맛으로 아 살찔 것 같은데? 라는 생각이 들지만 그래도 멈출 수 없는 디저트에요!,/src/f9c0733a-9eb1-49d2-a31e-caba02d6aab4.jpg,옥수수가 톡톡 씹혀서 더욱 맛있는 뽀또케이크 단짠단짠 황치즈크럼블,,0,0,yorizori2018,중,30분,,
1000007,2023-07-24 18:49,,요리조리,,0,여름에 흔하게 볼 수있는 가지~ 완전 간단하게 만들었어요~ 맛있게 만들어 드세요.,/src/32dbffcc-aa6d-4686-9699-4a542345284f.jpg,가지나물 ) 아주 쉽고 간편한 가지무침~,,0,0,yorizori2018,중,30분,,
1000008,2023-07-24 18:49,,요리조리,,0,가지를 좋아해서 가지로 뭘해도 맛있는데 오늘은 사다 놓은 가지가 보이길래 도티가 집에 오고 있는 동안 10분 정도 부리나케 가지 볶음을 초간단으로 만들었어요. 냉장고에 있는 돼지고기 앞다리살 넣고 소스는 마파소스랑 굴소스만 넣어서 빠르게 할 수 있었어요. 빨리 한 요리인데도 소스가 열일 해서 넘 맛있었어요. 가지랑 돼지고기만 있으면 담에도 만들어 먹어야겠어요. 낫또랑도 잘 어울리고 건강한 재료들이라 자극적이지 않고 감칠맛이 있어요. 가지를 푹 익히는걸 ,/src/078357ad-c2e9-4300-a785-62333218f278.jpg,초간단 낫또 가지덮밥 만드는 법,,0,0,yorizori2018,중,30분,,
1000009,2023-07-24 18:49,,요리조리,,0,냉동실에 보관 중인 유부슬라이 스와 다시마로 다시마유부조림 만들었어요.단짠으로 꼬들한 식감도 좋아 밥반찬으로 우동 토핑으로 잘 어울려요.,/src/679eeb8a-e510-403b-899e-ee17fe002d99.jpg,다시마유부조림,,0,0,yorizori2018,중,30분,,
1000010,2023-07-24 18:49,,요리조리,,0,중복도 지나고 이렇게 더운 여름도 가고 있네요. 복날엔 못 먹은 닭백숙을 며칠 지나 끓였는데 닭육수에 찹쌀대신 쌀국수 말아 먹었어요. 베트남 여행중에 호이얀 골목 허름한 쌀국수집의 깊은 육수맛은 늘 베트남 쌀국수를 그리워하게 만들 정도로 맛있었어요. 뭉근하게 오래 끓인 토종닭 백숙 국물에 까나리액젓으로 간을 하고 쌀국수를 말아 먹으니 비슷한 맛이 나더라구요. 국물이 예술~^^ 사먹는거 보다 훨씬 맛있어요. 왠만한 쌀국수집보다 맛있어요~^^,/src/1ec4d3d6-c38f-4f24-8c43-4e21733d25d6.jpg,복날은 간다~~닭한마리 쌀국수 만드는법,,0,0,yorizori2018,중,30분,,
