"recipe_id","created_time","updated_time","authorship","dish_name","recipe_view_count","recipe_intro","recipe_thumbnail","recipe_title","reference_recipe","review_count","star_count","user_token_id","level","time","version"
"1002570","2023-10-26 15:48:16","2023-10-26 15:48:16.109346",\N,"계란후라이","2","계란 후라이를 맛있게 만들어 보려 합니다.","/recipe/20231026/c4396975-ef5c-4871-b3d4-382c775a75a2.jpg","계란 후라이 맛있게 만들기",\N,"0","0.0","3038517892","하","5분 이내",\N
"1002569","2023-10-26 15:28:16","2023-10-26 15:28:15.724373",\N,"양배추 볶음","8","양배추 볶음을 맛있게 만드는 법을 알려드릴게요~","/recipe/20231026/dd5b7db0-9c8f-410d-8aaf-ec0fd0e5e484.jpg","양배추 볶음 맛있게 만들기","1002564","0","0.0","3038517892","하","30분 이내",\N
"1002568","2023-10-26 14:20:15","2023-10-26 14:20:14.602556",\N,"요거트블루베리","7","더운날 아이스크림을 입에 달고 있어서 이왕이면 다이어트에도 도움되는 간식이 없을까? 고민하다가 요리 스승 천국인 유튜브를 보다 정말 간단한 레시피로 여러분들이 올린 다이어트 간식을 발견했네요","/recipe/20231026/110f8acb-bf4c-46fd-9ea7-140e5567cedf.jpg","다이어트 간식 얼려 먹는 그릭요거트블루베리2","1000462,1002565","0","0.0","3038517892","중","30분 이내",\N
"1002567","2023-10-26 14:13:05","2023-10-26 14:13:04.605223",\N,"요거트블루베리","4","더운날 아이스크림을 입에 달고 있어서 이왕이면 다이어트에도 도움되는 간식이 없을까? 고민하다가 요리 스승 천국인 유튜브를 보다 정말 간단한 레시피로 여러분들이 올린 다이어트 간식을 발견했네요","/recipe/20231026/5591adfe-3acb-4fb9-9126-80b21afe28e5.jpg","다이어트 간식 얼려 먹는 그릭요거트블루베리","1000462,1002565","0","0.0","108569667986615980885","중","30분 이내",\N
"1002565","2023-10-26 13:45:55","2023-10-26 13:45:54.919121",\N,"요거트블루베리","19","더운날 아이스크림을 입에 달고 있어서 이왕이면 다이어트에도 도움되는 간식이 없을까? 고민하다가 요리 스승 천국인 유튜브를 보다 정말 간단한 레시피로 여러분들이 올린 다이어트 간식을 발견했네요","/recipe/20231026/18650b3c-1f10-47a8-9096-3b52a02cbe99.jpg","다이어트 간식 얼려 먹는 그릭요거트블루베리","1000462","0","0.0","3038517892","중","30분 이내",\N
"1002564","2023-10-26 13:43:02","2023-10-26 13:43:01.914494",\N,"양배추 볶음","21","양배추 볶음을 맛있게 만드는 법을 알려드릴게요~","/recipe/20231026/07912fb8-4ab5-49f0-b91f-b5bb57a93bb4.jpg","양배추 볶음 맛있게 만들기",\N,"0","0.0","2771733400","하","30분 이내",\N
"1002559","2023-10-25 20:33:13","2023-10-26 15:15:09.993508",\N,"닭죽","134","쌍화탕에 모든 한약재가 듬뿍 들었다지?? 만들면서 건강요리 만드는 느낌이 드는건 기분탓???","/recipe/20231026/e2bc84b2-06e9-4d5f-960c-ed9ed00786b4.jpg","쌍화탕닭죽",\N,"3","4.7","2947093440","하","5분 이내",\N
"1002557","2023-10-25 18:35:28","2023-10-25 18:35:27.518686",\N,"라면","35","라면입니다.","/recipe/20231025/d02b3447-cf07-4a34-8e72-44af2f8cdfe5.png","라면","1002556","0","0.0","3001319108","하","5분 이내",\N
"1002556","2023-10-25 17:46:37","2023-10-25 17:46:37.498227",\N,"라면","15","라면입니다.","/recipe/20231025/a5f20d15-019c-46e1-9a0d-cfaf50482f77.png","라면",\N,"0","0.0","3001319108","하","5분 이내",\N
"1002553","2023-10-25 15:13:15","2023-10-25 15:13:15.419219",\N,\N,"11","1","/recipe/20231025/0ac6639d-3f5b-45b2-92de-a0b6752676bb.jpg","大家好 테스트용",\N,"0","0.0","2947093440","하","5분 이내",\N
"1002538","2023-10-23 17:18:49","2023-10-23 17:18:48.902480",\N,"라면라면","11","라면라면","/recipe/20231023/26d61bff-0ae6-4c34-aae1-1a0b4d35a09e.jpg","라면라면",\N,"0","0.0","3001319108","하","5분 이내",\N
"1002523","2023-10-09 16:59:08","2023-10-09 16:59:07.632836",\N,"고기","29","테스트","/recipe/20231009/efbb713e-1147-4e79-bfc1-2d26253ba50d.jpg","테스트",\N,"0","0.0","3001319108","하","5분 이내",\N
"1002146","2023-10-07 12:20:00",\N,"요리조리","미니고구마케이크","2097","고구마를 곱게 으깬것과 생크림이 만나 더욱더 부드러워졌죠? 카스텔라가루로 깔끔한 마무리.","/src/ffed6d78-d08e-49e6-9980-b723b149f0c1.jpg","미니고구마케이크",\N,"0","0.0","yorizori2018","중","60분 이내",\N
"1000527","2023-10-07 12:20:00",\N,"요리조리","김부각","835","예전에 화사님이 게장에 김부각 드시는것을 보고 너무 먹어보고싶은데 당장 집에 없어서 있는 재료로만 만들 수 있는 방법을 찾다가 만들어보게 되었어요! 간단하고 맛있어서 누구나 할 수 있는 요리에요!","/src/0112647a-7074-424a-ae79-c32060746b97.jpg","초간단 술안주, 라이스페이퍼로 김부각 만들기!",\N,"0","0.0","yorizori2018","중","30분 이내",\N
"1001049","2023-10-02 00:00:00",\N,"요리조리","까르보나라 (한국식)","2448","전통식과는 다르게 생크림을 넣어 소스가 많은 한국식 까르보나라","/src/20230821-2594d130-5607-4475-92c6-6784efbc5a12.jpg","까르보나라 (한국식)",\N,"0","0.0","yorizori2018","하","30분 이내",\N
"1002264","2023-10-02 00:00:00",\N,"요리조리","퀘사딜라","195","샤워크림의 독특한 향이 너무 좋아요.","/src/fee61c37-8edc-4f6b-960d-b388f4d5e8eb.jpg","퀘사딜라",\N,"0","0.0","yorizori2018","중","30분 이내",\N
